"front","Back"
"🔬 'Bottom-up Approach' -এর তিনটি উদাহরণ দিন।","১. <b>Sol-gel:</b> একটি রাসায়নিক দ্রবণ (Sol) থেকে জেলের (Gel) মতো নেটওয়ার্ক তৈরি করা।<br>২. <b>Chemical Vapor Deposition (CVD):</b> গ্যাসীয় বিক্রিয়কের মাধ্যমে একটি পৃষ্ঠের উপর অ্যাটম বাই অ্যাটম ফিল্ম জমা করা।<br>৩. <b>Biological Synthesis (Green Synthesis):</b> উদ্ভিদ বা অণুজীব ব্যবহার করে ন্যানোপার্টিকেল তৈরি করা।"
"🗂️ উৎপত্তি (Origin) অনুসারে Nanomaterials কত প্রকার?","দুই প্রকার:<br>১. <b>Natural Nanomaterials:</b> প্রকৃতিতে পাওয়া যায়, যেমন- ভাইরাস, প্রোটিন, মাকড়সার সিল্ক, আগ্নেয়গিরির ছাই।<br>২. <b>Artificial Nanomaterials:</b> ল্যাবে তৈরি করা হয়, যেমন- Carbon Nanotubes (CNTs) এবং Quantum Dots।"
"🗂️ গঠন (Structural Configuration) অনুসারে Nanomaterials কত প্রকার?","চার প্রকার:<br>১. <b>Organic Nanomaterials:</b> যেমন Liposomes, Micelles, এবং Dendrimers।<br>২. <b>Inorganic Nanomaterials:</b> যেমন Metal, Metal Oxide (TiO₂, Fe₃O₄)।<br>৩. <b>Carbon-based Nanomaterials:</b> যেমন Graphene, Fullerenes (Buckyballs)।<br>৪. <b>Composite Nanomaterials:</b> একাধিক ন্যানোম্যাটেরিয়ালের মিশ্রণ।"
"🗂️ মাত্রা (Dimension) অনুসারে 0D Nanomaterials কী?","<b>0D (Zero-dimensional):</b> তিনটি মাত্রাই (দৈর্ঘ্য, প্রস্থ, উচ্চতা) ন্যানোস্কেলে (১-১০০ nm)।<br><b>উদাহরণ:</b> Quantum Dots, Fullerenes (Buckyballs)।<br><br><b>Feynman/Visualization (বিন্দু):</b> এটি একটি বিন্দুর (Dot) মতো। ইলেকট্রন সব দিক থেকেই 'আটকা' বা 'confined'। "
"🗂️ মাত্রা (Dimension) অনুসারে 1D Nanomaterials কী?","<b>1D (One-dimensional):</b> দুটি মাত্রা ন্যানোস্কেলে, কিন্তু একটি মাত্রা (যেমন, দৈর্ঘ্য) ন্যানোস্কেলের বাইরে।<br><b>উদাহরণ:</b> Nanowires, Nanotubes, Nanofibers।<br><br><b>Feynman/Visualization (তার):</b> এটি একটি তারের (Wire) মতো। ইলেকট্রন শুধু একটি দিক (বরাবর) চলতে পারে। "
"🗂️ মাত্রা (Dimension) অনুসারে 2D Nanomaterials কী?","<b>2D (Two-dimensional):</b> একটি মাত্রা (পুরুত্ব) ন্যানোস্কেলে, কিন্তু দুটি মাত্রা (দৈর্ঘ্য, প্রস্থ) বাইরে।<br><b>উদাহরণ:</b> Graphene, Nanosheets।<br><br><b>Feynman/Visualization (কাগজ):</b> এটি একটি কাগজের (Sheet) মতো। ইলেকট্রন দুটি দিকে (পৃষ্ঠ বরাবর) চলতে পারে। "
"🗂️ মাত্রা (Dimension) অনুসারে 3D Nanomaterials কী?","<b>3D (Three-dimensional):</b> কোনো মাত্রাই ন্যানোস্কেলে নয়, কিন্তু এর অভ্যন্তরীণ কাঠামো ন্যানো-ব্লক (nanoscale grains or particles) দিয়ে গঠিত।<br><br><b>Feynman/Visualization (স্পঞ্জ):</b> এটি একটি স্পঞ্জের (Sponge) মতো, যা নিজে বড় হলেও এর ভেতরের ছিদ্র বা কাঠামো ন্যানোস্কেলে তৈরি।"
"🗂️ ছিদ্রের ব্যাস (Pore Diameters) অনুসারে Nanomaterials-এর শ্রেণীবিন্যাস কী?","১. <b>Microporous:</b> ছিদ্রের ব্যাস < 2 nm (খুব ছোট)।<br>২. <b>Mesoporous:</b> ছিদ্রের ব্যাস 2 nm থেকে 50 nm এর মধ্যে (মাঝারি)।<br>৩. <b>Macroporous:</b> ছিদ্রের ব্যাস > 50 nm (বড়)।"
"🗂️ বিষাক্ততা (Toxicity) অনুসারে Nanomaterials-এর শ্রেণীবিন্যাস কী?","১. <b>Fiber-like nanoparticles:</b> যেমন rigid Carbon Nanotubes (ফাইবারের মতো)।<br>২. <b>Persistent granular nanoparticles:</b> যেমন Gold, Silver (দানাদার, যা সহজে ভাঙে না)।<br>৩. <b>CMAR nanoparticles:</b> Carcinogenic (ক্যান্সার সৃষ্টিকারী), Mutagenic (মিউটেশন সৃষ্টিকারী), বা Reproductive Toxin (প্রজনন-বিষ)। যেমন- Cadmium-containing QDs।"
"💡 ন্যানোস্কেলে পদার্থের Melting Point (গলনাঙ্ক) কেন কমে যায়?","ন্যানোস্কেলে কণার আকার কমার সাথে সাথে পদার্থের গলনাঙ্ক (melting point) কমে যায়।<br><br><b>First Principle (মূল নীতি):</b> গলন ঘটে পদার্থের 'পৃষ্ঠ' (Surface) থেকে। ন্যানোস্কেলে পদার্থের প্রায় সব অ্যাটমই পৃষ্ঠে থাকে (High Surface Energy)। এই পৃষ্ঠের অ্যাটমগুলি ভেতরের অ্যাটমের চেয়ে কম স্থিতিশীল (stable) এবং কম বন্ধনে আবদ্ধ থাকে।<br><br><b>Feynman/Visualization (বরফের কুচি):</b> ভাবুন, একটি বড় বরফের চাঁই (Bulk) আর এক গ্লাস বরফের কুচি (Nano)। বরফের কুচির পৃষ্ঠতল অনেক বেশি, তাই বাইরের তাপ তাকে দ্রুত গলিয়ে ফেলে। ন্যানো কণার পৃষ্ঠের অ্যাটমগুলোও 'আলগা' থাকায় তাদের গলানোর জন্য অনেক কম তাপ লাগে।"
"💡 'Localized Surface Plasmon Resonance (LSPR)' কী?","LSPR হলো Metal Nanoparticles (যেমন Gold, Silver)-এর একটি বিশেষ অপটিক্যাল ধর্ম। আলোর প্রভাবে এই ধাতব কণাগুলির পৃষ্ঠে থাকা মুক্ত ইলেকট্রনগুলির সম্মিলিত দোলন (collective oscillation) শুরু হয়।<br><br><b>Feynman/Visualization (জলের ঢেউ):</b> ভাবুন, একটি ছোট পুকুরে (Nanoparticle) ঢিল ফেললে (আলো) যেমন জলের ঢেউ (Electron oscillation) তৈরি হয়, LSPR-ও তেমন। পুকুরের আকার (Particle size) বদলালে যেমন ঢেউয়ের ধরন বদলায়, তেমনি ন্যানো কণার আকার বদলালে তার ইলেকট্রনের দোলনও বদলে যায়, ফলে শোষিত আলোর রঙও বদলে যায়। এই কারণেই Gold Nanoparticles লাল দেখায়, কিন্তু আকার বা দূরত্ব পরিবর্তন হলে (aggregation) তা বেগুনি বা নীল হয়ে যায়।"
"💡 'Quantum Confinement' কী?","Quantum Confinement হলো Quantum Dots (QDs)-এর একটি ধর্ম। কণার আকার যখন খুব ছোট (Bohr radius-এর চেয়ে কম) হয়ে যায়, তখন ইলেকট্রনের শক্তিস্তর (energy levels) আর নিরবচ্ছিন্ন (continuous) থাকে না, বরং বিচ্ছিন্ন (discrete) বা ধাপ-ধাপ হয়ে যায়।<br><br><b>Feynman/Visualization (গিটারের তার):</b> একটি লম্বা গিটারের তার (Bulk) বাজালে আপনি অনেক ধরনের শব্দ (continuous energy) পেতে পারেন। কিন্তু তারটিকে ছোট করতে থাকলে (Nanoscale), এটি থেকে শুধু নির্দিষ্ট কিছু তীক্ষ্ণ স্বর (discrete energy) বের হবে। QDs-ও তেমনি; আকার যত ছোট, শক্তিস্তর তত হাই (Band gap increases), ফলে রঙ নীলের (high energy) দিকে যায়। আকার বড় হলে রঙ লালের (low energy) দিকে যায়।"
"💡 'Superparamagnetism' কী?","Superparamagnetism হলো Iron Oxide (Fe₃O₄) ন্যানো কণার একটি বিশেষ চৌম্বকীয় ধর্ম।<br><br><b>Feynman/Visualization (লাজুক চুম্বক):</b> ভাবুন, ন্যানো কণাগুলি হলো 'লাজুক চুম্বক'। যখন কোনো বড় চুম্বক (External Magnetic Field) কাছে আসে, তখন তারা সবাই সারিবদ্ধ হয়ে শক্তিশালী চুম্বক হয়ে যায় (যা MRI-তে ধরা পড়ে)। কিন্তু বড় চুম্বকটি সরিয়ে নিলেই তারা আবার 'লজ্জা' পেয়ে তাদের চুম্বকত্ব হারিয়ে ফেলে এবং একে অপরের থেকে আলাদা হয়ে যায় (জট পাকায় না, যা Drug Targeting-এর জন্য ভালো)। Bulk Iron (যেমন, লোহার দণ্ড) কিন্তু একবার চুম্বক হলে তা ধরে রাখে (Permanent magnet)।"
"💡 ন্যানোস্কেলে পদার্থের বৈদ্যুতিক আচরণ (Electrical behavior) কীভাবে পরিবর্তিত হয়?","ন্যানোস্কেলে <b>Electron Confinement</b>-এর কারণে পদার্থের বৈদ্যুতিক আচরণ পরিবর্তিত হয়।<br><br><b>Feynman/Visualization (হাইওয়ে বনাম গলি):</b> Bulk পদার্থ (যেমন, কপার) হলো একটি ৮-লেনের হাইওয়ে, যেখানে ইলেকট্রন (গাড়ি) অবাধে চলতে পারে (Conductor)। কিন্তু একটি Carbon Nanotube হলো একটি সরু গলি (1D Nanomaterial)। এই গলিতে ইলেকট্রন চাইলেই ঘুরতে পারে না, তাকে নির্দিষ্ট নিয়ম মেনে (confined) চলতে হয়। এই বাধার কারণেই তার পরিবাহিতা (Conductivity) বদলে যায় এবং সে Semiconductor বা Insulator-এর মতো আচরণ করতে পারে।"
"💡 ন্যানোস্কেলের যান্ত্রিক বৈশিষ্ট্য (Mechanical Properties) কেন উন্নত হয়?","Bulk পদার্থের তুলনায় Nanomaterials-এর <b>Hardness</b> (দৃঢ়তা), <b>Yield Strength</b> এবং <b>Toughness</b> (সহনশীলতা) বেশি হয়।<br><br><b>First Principle (মূল নীতি):</b> পদার্থের ভাঙন শুরু হয় তার ভেতরের 'ত্রুটি' (Defects) বা 'ফাটল' (Cracks) থেকে। যখন পদার্থের কণা বা Grain Size ন্যানোস্কেলে চলে আসে, তখন এই ত্রুটি বা ফাটল তৈরি হওয়ার জায়গাই থাকে না (Fewer defects)।<br><br><b>Feynman/Visualization (ইটের দেয়াল):</b> একটি বড় ইটের (Bulk grain) দেয়ালে ফাটল ধরলে তা সহজেই ভেঙে পড়ে। কিন্তু যদি আপনি অসংখ্য ছোট ছোট মার্বেল (Nanograins) দিয়ে একটি দেয়াল বানান, তবে একটি মার্বেল সরলেও পুরো কাঠামোটি ভাঙবে না, কারণ চাপটি (stress) সমস্ত মার্বেলের মধ্যে ছড়িয়ে পড়ে (Grain Boundary Deformation)।"
"🌿 'Biomimetic Nanostructures' কী?","Biomimetic Nanostructures হলো এমন কৃত্রিম কাঠামো যা প্রাকৃতিক বা জৈবিক সিস্টেমকে (biological systems) অনুকরণ (imitate) করে ডিজাইন করা হয়। প্রকৃতি লক্ষ লক্ষ বছরের বিবর্তনের মাধ্যমে এই কাঠামোগুলিকে অপ্টিমাইজ করেছে।<br><br><b>Feynman/Visualization (প্রকৃতির নকল):</b> এটি হলো 'প্রকৃতির ডিজাইন নকল করা'। যেমন, পাখির ডানা দেখে এরোপ্লেন বানানো, তেমনি পদ্ম পাতা দেখে Self-cleaning পেইন্ট বানানো।"
"🌿 Lotus Leaf (পদ্ম পাতা) কীভাবে 'Self-cleaning' (নিজেকে পরিষ্কার) রাখে?","<b>নীতি:</b> পাতার পৃষ্ঠে Micro এবং Nano-structured সারফেস রয়েছে যা Hydrophobic (জল-বিতাড়ক) মোম দ্বারা আবৃত।<br><b>কাজ:</b> এই দ্বৈত-স্তরের রুক্ষ পৃষ্ঠের (Dual-scale roughness) কারণে জলের ফোঁটা পাতার সাথে প্রায় স্পর্শই করে না (High contact angle >150°)। এটি বাতাসের একটি স্তরের উপর 'বসে' থাকে।<br><br><b>Feynman/Visualization (কাঁটার বিছানায় বল):</b> ভাবুন, পাতার পৃষ্ঠটি একটি কাঁটার বিছানা। জলের ফোঁটা (বল) এই কাঁটার ডগায় (Nano-structure) ভেসে থাকে, পৃষ্ঠকে স্পর্শ করে না। তাই সামান্য ঢাল পেলেই বলটি (জলের ফোঁটা) গড়িয়ে পড়ে এবং পথের সমস্ত ময়লা (Dirt) সাথে নিয়ে চলে যায়। "
"🌿 Gecko Feet (টিকটিকির পা) কীভাবে আঠা ছাড়াই দেয়ালে আটকে থাকে?","<b>নীতি:</b> পায়ের নীচে লক্ষ লক্ষ মাইক্রোস্কোপিক চুল (Setae) থাকে, যার প্রতিটি প্রান্তে আবার শত শত ন্যানোস্কেল টিপস (Spatula) থাকে।<br><b>কাজ:</b> এই ন্যানো-টিপস এবং দেয়ালের অণুগুলির মধ্যে অত্যন্ত দুর্বল আকর্ষণ বল <b>Van der Waals forces</b> কাজ করে।<br><br><b>Feynman/Visualization (লক্ষ লক্ষ দুর্বল হাত):</b> একটি Van der Waals force হলো একটি শিশুর হাতের সমান দুর্বল। একটি শিশু আপনাকে টেনে ধরতে পারবে না। কিন্তু যদি লক্ষ লক্ষ শিশু একসাথে আপনার হাত ধরে টানে, তবে তারা আপনাকে একটি দেয়ালের সাথে আটকে রাখতে পারবে। টিকটিকির পা ঠিক এই কাজটিই করে। "
"🌿 Butterfly Wings (প্রজাপতির ডানা)-এর রঙ কোথা থেকে আসে? (Structural Coloration)","<b>নীতি:</b> ডানার আঁশগুলিতে (scales) Nanostructured <b>Photonic Crystals</b> থাকে।<br><b>কাজ:</b> এখানে রঙ কোনো পিগমেন্ট (pigment) বা রাসায়নিক রঙ থেকে আসে না, বরং আলোর ব্যতিচার (Light Interference) থেকে আসে।<br><br><b>Feynman/Visualization (সাবানের বুদবুদ):</b> সাবানের বুদবুদের (Soap bubble) যেমন নিজস্ব কোনো রঙ নেই, কিন্তু আলো পড়লে তা রামধনুর মতো দেখায়, প্রজাপতির ডানাও তেমনি। ডানার ন্যানো-কাঠামো (Photonic Crystal) সূর্যের আলোকে এমনভাবে ভাঙে যে নির্দিষ্ট কিছু রঙই শুধু আমাদের চোখে ফিরে আসে। এই রঙ গঠন-নির্ভর (Structural), তাই এটি কখনও ফ্যাকাশে হয় না।"
"🌿 Moth Eyes (মথের চোখ) কেন চকচক করে না? (Anti-Reflective)","<b>নীতি:</b> চোখের পৃষ্ঠে Subwavelength (আলোর তরঙ্গদৈর্ঘ্যের চেয়ে ছোট) Protuberances বা ন্যানো-স্তম্ভ (nanopillars) থাকে।<br><b>কাজ:</b> এটি আলোর প্রতিফলন (Reflection) প্রায় শূন্য করে দেয়।<br><br><b>Feynman/Visualization (মসৃণ বনাম খাঁজকাটা দেয়াল):</b> একটি মসৃণ দেয়ালে (Bulk surface) বল ছুড়ে মারলে তা সরাসরি বাউন্স করে ফিরে আসে (Reflection)। কিন্তু যদি দেয়ালটি অসংখ্য খাঁজকাটা (Nanostructure) হয়, তবে বলটি তার ভেতরেই বাড়ি খেতে খেতে শোষিত (Absorbed) হয়ে যাবে, বাউন্স করবে না। মথের চোখ আলোকরশ্মিকে ঠিক এভাবেই 'ফাঁদে' ফেলে, তাই অন্ধকারেও শিকারীর চোখ এড়িয়ে চলতে পারে। এটি Solar Cells-এ ব্যবহৃত হয়।"
"🧬 'Protein-Based Nanostructures' কী?","এগুলি হলো প্রাকৃতিক বা ইঞ্জিনিয়ারড প্রোটিন (engineered proteins) ব্যবহার করে তৈরি ন্যানো-অ্যাসেম্বলি।<br><br><b>First Principle (মূল নীতি):</b> প্রোটিন হলো প্রকৃতির নিজস্ব ন্যানো-মেশিন। প্রতিটি প্রোটিন তার অ্যামিনো অ্যাসিডের সিকোয়েন্স (Amino Acid Sequence) অনুযায়ী একটি নির্দিষ্ট 3D আকারে ভাঁজ (<b>Self-assembly</b>) হতে পারে এবং নির্দিষ্ট কাজ (<b>Functional diversity</b>, যেমন- Catalysis, Binding) করতে পারে।"
"🧬 Protein-Based Nanostructures-এর সুবিধা কী কী?","১. <b>Self-assembly:</b> প্রোটিন প্রাকৃতিকভাবে নির্দিষ্ট আকারে ভাঁজ (fold) হতে পারে।<br>২. <b>Functional diversity:</b> প্রোটিনের বিভিন্ন কাজ আছে (যেমন- Catalytic, Binding, Structural)।<br>৩. <b>Biocompatibility:</b> জৈবিক সিস্টেমের সাথে সামঞ্জস্যপূর্ণ।<br>৪. <b>Responsiveness:</b> pH, তাপমাত্রা বা লিগ্যান্ডের প্রভাবে সাড়া দিতে পারে।"
"🧬 Protein Nanostructures-এর উদাহরণ দিন।","১. <b>Cage-like Structures (খাঁচা):</b> যেমন <b>Ferritin</b> (আয়রন জমা রাখে) এবং <b>Virus-like Particles (VLPs)</b>। এগুলি Cargo encapsulation (যেমন ওষুধ) বা ভ্যাকসিন হিসেবে ব্যবহৃত হয়।<br>২. <b>Fibrils and Fibers (আঁশ):</b> যেমন <b>Amyloid fibrils</b> বা <b>Collagen</b>।<br>৩. <b>Protein Lattices (জালিকা):</b> যেমন <b>S-layer proteins</b>, যা প্রাকৃতিকভাবে 2D array তৈরি করে।"
"🧬 'DNA-Based Nanostructures' কী?","এগুলি হলো DNA-কে প্রাথমিক বিল্ডিং উপাদান হিসাবে ব্যবহার করে তৈরি কৃত্রিম ন্যানো-কাঠামো।<br><br><b>First Principle (মূল নীতি):</b> DNA-এর মূল শক্তি তার জেনেটিক কোডে নয়, বরং তার <b>Programmability</b>-তে। Watson-Crick বেস পেয়ারিং (A-T, G-C) হলো একটি সুনির্দিষ্ট আণবিক 'নির্দেশনা' (molecular instruction)। আপনি ঠিক করে দিতে পারেন কোন স্ট্র্যান্ড কার সাথে এবং কোথায় জুড়বে।"
"🧫 DNA-কে কেন ন্যানো-বিল্ডিং ব্লক হিসেবে ব্যবহার করা হয়?","১. <b>Programmability (প্রোগ্রামযোগ্যতা):</b> DNA-এর প্রধান সুবিধা হলো এর <b>Watson-Crick base pairing</b> (A-T, G-C)। এই সুনির্দিষ্ট জোড় বাঁধার নীতির কারণে বিজ্ঞানীরা DNA-কে কম্পিউটার কোডের মতো প্রোগ্রাম করতে পারেন।<br>২. <b>Biocompatibility (জৈব-সামঞ্জস্যতা):</b> এটি প্রাকৃতিক এবং অ-বিষাক্ত (non-toxic)।<br>৩. <b>Predictable Structure (অনুমানযোগ্য গঠন):</b> DNA ডাবল হেলিক্সের গঠন (২ nm ব্যাস) সুপরিচিত।"
"🧫 'DNA Origami' কী?","DNA Origami হলো একটি বিশেষ Bottom-up টেকনিক।<br><br><b>Feynman/Visualization (কাগজ ভাঁজ বনাম সুতো ভাঁজ):</b> 'Origami' মানে কাগজ ভাঁজ করা। কিন্তু DNA Origami-তে কাগজ হলো একটি দীর্ঘ একক-স্ট্র্যান্ড DNA (যাকে <b>Scaffold</b> বলে, সাধারণত M13 ভাইরাস থেকে নেওয়া)। আর এই লম্বা 'কাগজ' বা সুতোটিকে ভাঁজ করার জন্য শত শত ছোট ছোট 'পিন' বা 'Staple' (ছোট DNA স্ট্র্যান্ড) ব্যবহার করা হয়। এই Staple-গুলি Scaffold-এর বিভিন্ন অংশকে একসাথে ধরে রেখে একটি নির্দিষ্ট 2D বা 3D আকার (যেমন- স্মাইলি ফেস, বাক্স) তৈরি করে। "
"🧫 'DNA Tiles' এবং 'DNA Bricks' কী?","<b>DNA Tiles:</b> এগুলি হলো ছোট, অনমনীয় (rigid) DNA মোটিফ (যেমন Double Crossover বা DX) যা টাইলসের মতো একে অপরের সাথে যুক্ত হয়ে বড় 2D বা 3D গ্রিড (Lattice) তৈরি করে।<br><br><b>DNA Bricks:</b> এটি একটি মডুলার সিস্টেম যেখানে কোনো Scaffold লাগে না; প্রতিটি ছোট স্ট্র্যান্ডই একটি বিল্ডিং ব্লক বা 'ইট' (Brick) হিসেবে কাজ করে এবং একে অপরের সাথে লেগে একটি 3D কাঠামো তৈরি করে।"
"🧫 DNA Nanostructures-এর তিনটি প্রধান প্রয়োগ (Application) কী?","১. <b>Nanorobotics:</b> যেমন <b>DNA walkers</b> (যারা নির্দিষ্ট ট্র্যাকে হাঁটে) বা <b>DNA tweezers</b> (যা ইনপুটের মাধ্যমে খোলে বা বন্ধ হয়)।<br>২. <b>Targeted Drug Delivery:</b> DNA খাঁচা (cages) যা ক্যান্সার সেলের নির্দিষ্ট মার্কারকে চিনে ওষুধ রিলিজ করে।<br>৩. <b>Biosensing:</b> <b>Aptamer</b>-ভিত্তিক সেন্সর (Aptamers হলো বিশেষ DNA স্ট্র্যান্ড) যা নির্দিষ্ট প্রোটিন বা অণু সনাক্ত করতে পারে।"
"⚡ Nanomaterials-এর প্রধান প্রয়োগ (Applications) ক্ষেত্রগুলি কী কী?","১. <b>চিকিৎসা (Medicine):</b> Drug Delivery, Imaging (MRI), Therapeutics (Photothermal Therapy)।<br>২. <b>শক্তি (Energy):</b> Solar Cells, Lithium-ion Batteries।<br>৩. <b>পরিবেশ (Environment):</b> Water Purification (Photocatalysis, Heavy metal removal)।<br>৪. <b>ইলেকট্রনিক্স (Electronics):</b> Displays (QLEDs), Gas Sensors।<br>৫. <b>ভোক্তা পণ্য (Consumer Products):</b> Cosmetics (Sunscreens), Textiles (Antibacterial)।"
