"🗂️ <b>Resource</b>","<b>📖 সংজ্ঞা:</b> Resource মানে হলো সেই নির্দিষ্ট তথ্য বা ফাইল যা client চায়। যেমন: <i>index.html</i>, <i>about.png</i>, বা <i>/api/user</i><br><br><b>🔮 তুলনা:</b> রেস্টুরেন্টে গিয়ে তুমি যেটা অর্ডার করো—তুমি client, ওটা resource।"
"🌐 <b>Server</b>","<b>📖 সংজ্ঞা:</b> Server হলো এমন একটা কম্পিউটার বা সফটওয়্যার, যা client-এর অনুরোধ গ্রহণ করে এবং রেসপন্স পাঠায়।<br><br><b>🔮 তুলনা:</b> তুমি রেস্টুরেন্টে অর্ডার দিলে যেই কিচেন খাবার তৈরি করে, সেই হলো সার্ভার।"
"📨 <b>HTTP Request & Response</b>","<b>📖 সংজ্ঞা:</b> Client যখন server-এর কাছে কিছু চায়, তখন তা <i>HTTP request</i> আকারে পাঠায়। Server এর জবাব দেয় <i>HTTP response</i> দিয়ে।<br><br><b>🧾 গঠন:</b><br>• Request Header<br>• Request Body (optional)<br>• Response Header<br>• Response Body<br><br><b>🔮 তুলনা:</b> একজন লোক যদি একটা চিঠি লেখে (request), আর তার জবাব পায় (response), তবে HTTP হলো সেই গোটা চিঠির প্রক্রিয়া।"
"Front","Back"
"🧭 <b>Frontend এবং Backend Development</b>","<b>🎯 অনুভব:</b> ধরো তুমি একটা রেস্টুরেন্টে গেছো। সামনে ওয়েটার তোমাকে মেনু দিচ্ছে, অর্ডার নিচ্ছে—এটাই <i>Frontend</i>। কিন্তু ভিতরে রান্নাঘরে কীভাবে রান্না হচ্ছে, সেটা হলো <i>Backend</i>।<br><br><b>📖 সংজ্ঞা:</b> Frontend হচ্ছে যেটা ইউজার চোখে দেখে—design, layout, button, menu। Backend হচ্ছে যেটা চোখে দেখা যায় না—server, database, authentication।<br><br><b>🔧 প্রযুক্তি:</b><br><b>Frontend:</b> HTML, CSS, JavaScript, React<br><b>Backend:</b> Node.js, Express.js, Django, Laravel<br><br><b>🌐 কাজের ধরণ:</b><br>Frontend user interaction নিয়ে কাজ করে, আর Backend ডেটা প্রসেসিং, লজিক, ডাটাবেস ম্যানেজমেন্ট নিয়ে।"
"🌐 <b>Static Web</b>","<b>📖 সহজভাবে বললে:</b> Static Web মানে এমন ওয়েবসাইট যেখানে content আগে থেকেই fix করা থাকে। ইউজার যাই করুক, ওয়েবসাইট একই রকম থাকবে।<br><br><b>🧰 টেকনোলজি:</b> HTML + CSS (বা খুব কম JavaScript)।<br><br><b>🌍 উদাহরণ:</b><br>• Portfolio Website<br>• Personal Blog (যেখানে কম আপডেট লাগে)<br><br><b>📦 সুবিধা:</b><br>• খুব দ্রুত লোড হয়<br>• হোস্টিং খরচ কম<br><br><b>🧩 অসুবিধা:</b><br>• User interaction কম<br>• Manual content update করতে হয়"
"⚙️ <b>Dynamic Web</b>","<b>📖 সহজভাবে বললে:</b> Dynamic Web site হলো এমন একটা সিস্টেম যেটা ইউজারের কাজের উপর ভিত্তি করে content বদলায়।<br><br><b>🧪 দুইভাবে তৈরি হয়:</b><br>1. <u>Template ব্যবহার করে:</u> Backend থেকে ডেটা নিয়ে HTML template-এ বসিয়ে দেখানো হয়<br>2. <u>API ব্যবহার করে:</u> Frontend আলাদা থাকে, Backend থেকে JSON ডেটা API দিয়ে এনে দেখায়<br><br><b>🌍 উদাহরণ:</b><br>• Facebook<br>• YouTube<br>• Online Shopping Site<br><br><b>🧠 লাভ:</b><br>• ইউজারভিত্তিক কনটেন্ট<br>• ইনপুট দিলে রেসপন্স আসে<br>• ব্যবহারকারীর অভিজ্ঞতা অনেক ভালো হয়"
"🔌 <b>API ব্যবহারের সুবিধা</b>","<b>📖 API হলো:</b> 'চালাকি করে কাজ করানোর শর্টকাট'। এক সিস্টেম আরেকটার সঙ্গে কথা বলার জন্য API দরকার।<br><br><b>🛠️ সুবিধাসমূহ:</b><br>1. <b>Reusability:</b> এক API বারবার ব্যবহার করা যায়<br>2. <b>Separation of Concerns:</b> Frontend/Backend আলাদা রাখা যায়<br>3. <b>Efficiency:</b> ডেটা পাঠানো-আনাটা দ্রুত হয়<br>4. <b>Security:</b> Backend safe থাকে, সব exposed হয় না<br><br><b>🌍 বাস্তব উদাহরণ:</b><br>• Weather app API থেকে তাপমাত্রা আনে<br>• Payment gateway API দিয়ে টাকা পাঠানো হয়<br><br><b>📦 সংক্ষেপে:</b> API থাকলে ওয়েবসাইট হয় smart, responsive, এবং flexible।"
"Front","Back"
"🚀 <b>Why Node.js was invented?</b>","<b>🎯 অনুভব:</b> JavaScript আগে শুধু ব্রাউজারে চলত। কিন্তু কেউ একজন ভাবল—“এই জিনিসটা যদি সার্ভারেও চলতো, তাহলে কত কিছু করা যেত!” সেই চিন্তা থেকেই জন্ম নিল <b>Node.js</b>।<br><br><b>📖 সংজ্ঞা:</b> Node.js হলো JavaScript-এর জন্য তৈরি একটা runtime environment যেটা ব্রাউজার ছাড়াও সার্ভারে কোড চালাতে পারে।<br><br><b>📦 উদ্দেশ্য:</b><br>1. JavaScript কে server-side language বানানো<br>2. High-performance apps (chat, games) তৈরি করা<br>3. Non-blocking, asynchronous কাজ করা সহজ করা<br><br><b>🛠️ ব্যবহার:</b> Backend API, Realtime app, CLI tools, Automation"
"⚙️ <b>JS Engine</b>","<b>📖 JS Engine কী?</b> এটা একটা সফটওয়্যার প্রোগ্রাম যেটা JavaScript কোডকে বুঝে এবং চালায়। Google Chrome-এর <b>V8 Engine</b> সবচেয়ে বিখ্যাত।<br><br><b>🔍 কিভাবে কাজ করে?</b><br>1. <b>Parsing:</b> কোডকে tokens-এ ভাঙে<br>2. <b>Compilation:</b> Bytecode বানায়<br>3. <b>Execution:</b> CPU তে চালানো হয়<br><br><b>🧠 সংক্ষেপে:</b> তুমি JS লিখো, Engine সেটা চালায় — ঠিক যেমন তুমি বই পড়ো, আর মাথা সেটা বুঝে নেয়।"
"🌐 <b>JS Runtime in Browser</b>","<b>📖 কীভাবে JS Browser এ চলে?</b><br>Browser-এর মধ্যে থাকে একটা JS Engine (যেমন V8), যেটা HTML/DOM এর সঙ্গে কাজ করে।<br><br><b>🧪 Runtime এ থাকে:</b><br>1. JS Engine (V8)<br>2. Web APIs (DOM, Timer, Fetch etc)<br>3. Callback Queue<br>4. Event Loop<br><br><b>🎬 কাজের ধরন:</b><br>যখন তুমি <code>setTimeout</code> বা <code>fetch</code> লিখো, তখন সেটা Browser এর Web API হ্যান্ডল করে, পরে Event Loop এর মাধ্যমে JS Engine এর কাছে পাঠায়।"
"🧠 <b>Why Node.js?</b>","<b>📌 কেন Node.js দরকার হয়েছিল?</b><br>Browser এর বাইরে JS চালানোর কোনো উপায় ছিল না। Server-side কাজের জন্য আলাদা language (PHP, Python) লাগত।<br><br><b>✅ সুবিধা:</b><br>1. JavaScript দিয়ে Fullstack<br>2. Non-blocking, asynchronous<br>3. Fast (V8 engine)<br>4. Huge ecosystem (npm)<br><br><b>❌ অসুবিধা:</b><br>1. Single-threaded (complex CPU task-এ দুর্বল)<br>2. Callback hell (async কাজ কঠিন)<br>3. Not ideal for heavy computation<br><br><b>🌟 Bottom line:</b> Fast, scalable এবং JavaScript ভালোবাসাদের জন্য স্বর্গ!"
"🔁 <b>Event Loop</b>","<b>🎯 কী অনুভব:</b> ধরো তুমি বন্ধুদের সাথে আড্ডা দিচ্ছো, কিন্তু কেউ কিছু বললে সেটা আলাদা করে শোনো—<i>একজন শোনে, বাকি কাজও চলে</i>। এটাই হলো Event Loop।<br><br><b>📖 সংজ্ঞা:</b> Event Loop হলো একটা মেকানিজম যেটা callback queue থেকে কাজ নিয়ে main thread-এ চালায়, একটার পর একটা।<br><br><b>⚙️ কিভাবে কাজ করে?</b><br>1. JS Engine synchronous কাজ করে<br>2. Async task (setTimeout, fetch) Web API-তে যায়<br>3. কাজ শেষ হলে Queue-তে বসে<br>4. Event Loop দেখে main thread ফাঁকা হলে callback পাঠায়<br><br><b>🎬 উপকার:</b> একটানা কাজ বন্ধ না করে asynchronous কাজ চালানো যায়"
"🧵 <b>Thread Pool</b>","<b>📖 কী?</b> Thread pool হলো Worker threads এর একটা পুল (গুচ্ছ), যেগুলো async কাজ (file read/write, crypto) চালায়—যেটা JS নিজে করতে পারে না।<br><br><b>🌊 কেন দরকার?</b><br>JS single-threaded, তাই হেভি কাজগুলো আলাদা thread-এ দিয়ে CPU block না করে চলে।<br><br><b>🔧 কাজ:</b><br>1. File system operations<br>2. Network requests<br>3. Compression, Encryption<br><br><b>⚙️ কে ম্যানেজ করে?</b> Node.js-এর <b>libuv</b> library<br><br><b>🎯 Analogies:</b><br>• এক বাবুর্চি রান্না করে, অন্যরা রুটি বানায়<br>• এক অফিসে বসে কাজ, বাকি সবাই ফিল্ডে<br><br><b>🧠 Bottom line:</b> Thread Pool = Teamwork!"
"Front","Back"
"🏗️ <b>High Level Overview of Node.js Architecture</b>","<b>🌟 অনুভব:</b> Node.js আসলে একটা বিস্ময়—যেটা তোমার কম্পিউটারকে অসাধারণভাবে কাজে লাগায়, যেন একদল মানুষের দল একসাথে কাজ করছে। আসো দেখি এর গঠন কেমন!<br><br><b>🧩 মূল ধারণা:</b> Node.js এর আর্কিটেকচার হলো <b>Event Driven Architecture</b> — অর্থাৎ, কাজগুলো হয় ইভেন্টের ওপর ভিত্তি করে, একটার পর একটা।"
"🎉 <b>Event Driven Architecture</b>","<b>📖 অর্থ:</b> Node.js কাজ করে ইভেন্টের মাধ্যমে। যখন কিছু ঘটে (event), তখন সেই কাজের জন্য নির্দিষ্ট ফাংশন চালানো হয়। এটা পুরো প্রোগ্রামকে খুব দক্ষ ও responsive করে তোলে।<br><br><b>🌱 উদাহরণ:</b> তুমি যদি দরজা খুলো, সে ইভেন্ট; দরজা খোলার পর যা হয়, সেটা Event Driven Architecture।"
"💡 <b>Event Emitter</b>","<b>📖 কি?</b> Event Emitter হলো Node.js এর একটা বস্তু যা ইভেন্ট তৈরি করে। যেমন ধরো, কেউ দরজা ঠেলল, তাহলে Event Emitter সেটা সবাইকে জানায়।<br><br><b>🔧 কাজ:</b> ইভেন্ট ছড়ায়, যাতে যেকোনো listener সেটা ধরতে পারে।"
"👂 <b>Event Listener</b>","<b>📖 কি?</b> Event Listener হলো সেই প্রোগ্রাম যেটা ইভেন্ট ধরার জন্য অপেক্ষা করে। যেমন দরজা খোলার শব্দ শুনে কাজ শুরু করা।<br><br><b>⚙️ কাজ:</b> ইভেন্ট ঘটলে, Listener সক্রিয় হয় এবং কাজ করে।"
"🔄 <b>Callback</b>","<b>📖 সংজ্ঞা:</b> Callback হলো একটা function যা কোনো কাজ শেষ হলে চালানো হয়। এটি Event Driven Architecture এর প্রাণ।<br><br><b>🌟 উদাহরণ:</b> তুমি কাউকে বললে “কাজ শেষ হলে আমাকে জানিও”, সেটাই Callback।"
"❤️ <b>Event Loop - Heart of Node.js</b>","<b>🎯 ভূমিকা:</b> Event Loop হলো Node.js এর হৃদয়। এটা দেখে কাজ গুলো কবে চালানো হবে, আর যেগুলো অপেক্ষায় আছে সেগুলোকে সামনে আনে।<br><br><b>🛠️ কাজের পদ্ধতি:</b><br>1. Sync কাজ প্রথম<br>2. Async কাজ Web API এ<br>3. কাজ শেষ হলে callback queue তে যায়<br>4. Event Loop দেখে main thread ফাঁকা হলে callback চালায়<br><br><b>🌟 এর জন্য Node.js এত দ্রুত ও responsive!"
"⚙️ <b>Process</b>","<b>কি?</b> Process হলো তোমার কম্পিউটারে চলমান একটি প্রোগ্রাম, যা কাজ করতে RAM, CPU, Disk ইত্যাদি ব্যবহার করে।<br><br><b>উদাহরণ:</b> তুমি যখন Node.js চালাও, তখন একটা Process শুরু হয়।<br><br><b>Process এর Needs:</b><br>1. RAM (মস্তিষ্কের জায়গা)<br>2. CPU (মস্তিষ্কের শক্তি)<br>3. GPU (গ্রাফিক কাজ)<br>4. I/O (দেখা-শোনা, টাচ)<br><br>এসব OS দ্বারা নিয়ন্ত্রিত হয়।"
"🧵 <b>Thread</b>","<b>কি?</b> Thread হলো Process এর মধ্যে ছোট ছোট কাজের ধারা। ভাবো, একটা অফিসে অনেক কর্মী (threads) একসাথে কাজ করে।<br><br><b>ধরন:</b><br>1. Single Thread — এক কর্মী এক সময় কাজ করে<br>2. Multi Thread — একসাথে অনেক কর্মী<br>3. Thread Pool — কর্মীদের দল<br><br>Node.js মূলত Single Thread কিন্তু Thread Pool ব্যবহার করে হেভি কাজ দেয়।"
"🔁 <b>Event Loop (Revisited)</b>","<b>মনে করো তোমার কাজের তালিকা খুব লম্বা, কিন্তু তুমি একবারে শুধু এক কাজ করো। Event Loop তোমার সেই তালিকা থেকে কাজ গুলো এক এক করে তুলে নিয়ে execution দেয়।<br><br>এভাবে Node.js asynchronous কাজও সুন্দরভাবে চালাতে পারে, আর সার্ভার থেমে যায় না।<br><br>এটাই Node.js এর প্রাণ।"
"Front","Back"
"🧵 <b>Single Threaded Node.js</b>","<b>🌟 অনুভূতি:</b> ভাবো, Node.js হলো একক এক কর্মী, একসাথে শুধু একটা কাজ করে। কিন্তু সে কাজটা করে খুব দক্ষতার সঙ্গে, যেন সময় বাঁচাতে জানে! আসো দেখি এর বেলাটা কেমন বাঁধা।"
"⚔️ <b>Single Thread Server vs Multi Threaded Server</b>","<b>Single Thread Server:</b> একক থ্রেড দিয়ে কাজ করে, এক সময় এক কাজ। এটা সহজ, কিন্তু কোনো কাজ লম্বা হলে সার্ভার অপেক্ষা করে।<br><br><b>Multi Threaded Server:</b> একাধিক থ্রেড একসাথে কাজ করে, তাই লম্বা কাজগুলোও দ্রুত হয়, কিন্তু জটিল এবং বেশি রিসোর্স নেয়।<br><br>Node.js Single Threaded হলেও Event Loop ও Thread Pool দিয়ে Multi Threaded এর মতো পারফরম্যান্স দেয়।"
"⚡ <b>I/O Intensive Task</b>","I/O মানে Input/Output, যেমন ফাইল পড়া, নেটওয়ার্ক রিকোয়েস্ট।<br><br>Node.js এই কাজগুলো খুব ভালোভাবে Non-blocking ভাবে করে, অর্থাৎ অপেক্ষা না করে অন্য কাজ করতে থাকে। ফলে সার্ভার দ্রুত এবং responsive থাকে।"
"🔥 <b>CPU Intensive Task</b>","CPU Intensive Task হলো সেই কাজ যা অনেক গণনা বা প্রসেসিং করে, যেমন বড় বড় হিসাব, ইমেজ প্রসেসিং।<br><br>Node.js এর Single Thread এর জন্য এই কাজগুলো করলে সার্ভার ধীর হতে পারে, কারণ একসাথে অন্য কাজ করা কঠিন। তাই এই কাজগুলো আলাদা থ্রেড বা সার্ভারে দেওয়া উচিত।"
"🚀 <b>Non-blocking I/O</b>","Node.js এর সবচেয়ে বড় শক্তি হলো Non-blocking I/O — অর্থাৎ, যখন কোনো I/O কাজ হয়, Node.js অপেক্ষা করে না, বরং পরের কাজ শুরু করে।<br><br>এতে সার্ভার থামে না, হাজার হাজার রিকোয়েস্ট সহজে সামলে নেয়। এটা Node.js কে দ্রুত ও scalable করে।"
"📈 <b>Server Scaling</b>","যখন সার্ভারে অনেক রিকোয়েস্ট আসে, তখন সেটাকে বড় করতে হয়, এটাকে বলে Scaling।<br><br>Node.js সাধারণত Single Thread হওয়ায়,<br>• <b>Vertical Scaling:</b> বেশি CPU বা RAM দেয়া<br>• <b>Horizontal Scaling:</b> অনেক সার্ভার চালানো (Cluster mode)<br><br>Cluster mode এ Node.js একাধিক থ্রেড বা প্রসেস চালায়, যাতে বড় traffic সামলানো যায়।"
"Front","Back"
"🔄 <b>How Event Loop Works</b>","<b>🌟 অনুভব:</b> ভাবো তোমার কাছে অনেক কাজের তালিকা, কিন্তু তুমি এক সময় এক কাজ করো। Node.js এর Event Loop সেই কাজের তালিকা থেকে কাজ গুলো সুন্দরভাবে বের করে এক এক করে সম্পন্ন করে। আসো, এর রহস্য দেখি।"
"⏳ <b>4 Most Important Phases of Event Loop</b>","Event Loop এর ৪টা প্রধান ধাপ আছে:<br>1. <b>Timers Phase:</b> যেখানে সময় অনুযায়ী setTimeout ও setInterval এর callback গুলো চালানো হয়।<br>2. <b>I/O Callbacks:</b> যেখানে বেশিরভাগ asynchronous I/O কাজের callback চলে।<br>3. <b>Idle, Prepare:</b> Node.js নিজেকে প্রস্তুত করে পরবর্তী কাজের জন্য।<br>4. <b>Poll Phase:</b> যেখানে নতুন I/O ইভেন্টগুলো চেক করা হয় এবং callback গুলো চালানো হয়।"
"📥 <b>Callback Queues</b>","Event Loop বিভিন্ন কাজের callback গুলো বিভিন্ন Queue তে রাখে। এগুলো হলো:<br>1. <b>Start Queue:</b> নতুন কাজের শুরুতে।<br>2. <b>Expired Timer Callbacks:</b> সময় হয়ে যাওয়া setTimeout এর কাজ।<br>3. <b>I/O Polling and Callbacks:</b> I/O কাজের callback।<br>4. <b>setImmediate Callbacks:</b> setImmediate দ্বারা চালিত callback।<br>5. <b>Close Callbacks:</b> যেমন socket বন্ধ করার callback।"
"📝 <b>Queue</b>","কাজগুলো এক একটি Queue তে জমা হয়, আর Event Loop কাজ শেষ করে সেই Queue থেকে পরের কাজ নেয়।<br><br>এতে Node.js একসাথে অনেক asynchronous কাজের মধ্যে সামঞ্জস্য বজায় রাখতে পারে।"
"⚡ <b>Microtask Queue</b>","Microtask Queue হলো একটা বিশেষ Queue যেখানে Promise এর callback ও process.nextTick এর কাজ থাকে।<br><br>Event Loop প্রতিটি ফেজ শেষে Microtask Queue খালি করে, তাই Promise এর কাজগুলো দ্রুত হয়।<br><br>এই Queue এর কাজ Node.js কে আরও responsive এবং ফাস্ট করে তোলে।"
wasZxsdszxaswq21`   `
