"front","back"
"উদ্ভিদের শারীরবৃত্তীয় কাজে ব্যাপনের একটি উদাহরণ দাও।","সালোকসংশ্লেষণের সময় বাতাসের কার্বন ডাইঅক্সাইড গ্রহণ এবং অক্সিজেন ত্যাগ করা।"
"জীবকোষে শ্বসনের সময় গ্লুকোজ জারণের জন্য কী ব্যবহৃত হয়?","অক্সিজেন"
"ব্যাপন ক্রিয়ার দ্বারা কোষে কী প্রবেশ করে ও কী বের হয়ে যায়?","অক্সিজেন প্রবেশ করে এবং কার্বন ডাইঅক্সাইড বের হয়ে যায়"
"উদ্ভিদ দেহে শোষিত পানি বাষ্পাকারে কোন প্রক্রিয়ায় বের করে দেয়?","ব্যাপন প্রক্রিয়ায় (প্রস্বেদনের মাধ্যমে)"
"প্রাণীদের শ্বসনের সময় অক্সিজেন ও কার্বন ডাইঅক্সাইডের আদান-প্রদান কোন প্রক্রিয়ায় সম্পন্ন হয়?","ব্যাপন প্রক্রিয়ায়"
"পর্দাকে সাধারণত কত ভাগে ভাগ করা যায়?","তিনভাগে (অভেদ্য, ভেদ্য ও অর্ধভেদ্য)"
"যে পর্দা দিয়ে দ্রবক ও দ্রব উভয় প্রকার পদার্থের অণুগুলো চলাচল করতে পারে না তাকে কী বলে?","অভেদ্য পর্দা"
"অভেদ্য পর্দার উদাহরণ দাও।","পলিথিন, কিউটিনযুক্ত কোষপ্রাচীর"
"যে পর্দা দিয়ে দ্রবক ও দ্রব উভয়েরই অণু সহজে চলাচল করতে পারে তাকে কী বলে?","ভেদ্য পর্দা"
"ভেদ্য পর্দার উদাহরণ দাও।","কোষপ্রাচীর"
"যে পর্দা দিয়ে কেবল দ্রাবক অণু চলাচল করতে পারে কিন্তু দ্রব অণু পারে না, তাকে কী বলে?","অর্ধভেদ্য পর্দা"
"অর্ধভেদ্য পর্দার উদাহরণ দাও।","কোষপর্দা, ডিমের খোসার ভিতরের পর্দা, মাছের পটকার পর্দা"
"শুকনা কিশমিশ পানিতে কিছুক্ষণ ভিজিয়ে রাখলে সেটি ফুলে উঠে কেন?","অভিস্রবণ প্রক্রিয়ায় পানি শোষণের কারণে"
"অভিস্রবণও এক প্রকার কী?","ব্যাপন"
"অভিস্রবণ কেবলমাত্র কোন পদার্থের ক্ষেত্রে ঘটে?","তরলের ক্ষেত্রে"
"অভিস্রবণের সময় দুটি তরলকে কী পৃথক করে রাখে?","একটি অর্ধভেদ্য পর্দা"
"কিশমিশের ভিতরে কীসের গাঢ় দ্রবণ থাকে?","শর্করার গাঢ় দ্রবণ"
"কিশমিশকে পানিতে রাখলে শুধু কোন অণু কিশমিশের অভ্যন্তরে প্রবেশ করে?","পানির অণু"
"কিশমিশের বাইরের আবরণটি কী ধরনের পর্দা?","অর্ধভেদ্য পর্দা"
"অভিস্রবণ বা অসমোসিস (Osmosis) কাকে বলে?","যে প্রক্রিয়ায় দ্রাবক পদার্থের অণুগুলো (যেমন পানি) কম ঘনত্বের দ্রবণ থেকে অধিক ঘনত্বের দ্রবণের দিকে একটি অর্ধভেদ্য পর্দা ভেদ করে যায়।"
"জীবকোষের কোন অংশ অর্ধভেদ্য পর্দা হিসেবে কাজ করে?","কোষাবরণ বা প্লাজমা পর্দা"
"কোন প্রক্রিয়ায় মাটিস্থ পানি মূলরোমের মধ্যে প্রবেশ করে?","অভিস্রবণ প্রক্রিয়ায়"
"কোষস্থিত পানি খনিজ লবণকে দ্রবীভূত করে কীসে পরিণত হয়?","কোষ রসে"
"অভিস্রবণ প্রক্রিয়ার দ্বারা উদ্ভিদ কোষে কী ঘটে?","রসস্ফীতি ঘটে"
"কোষের রসস্ফীতি উদ্ভিদের কী উপকার করে?","কাণ্ড ও পাতাকে সতেজ রাখতে সাহায্য করে"
"ফুলের পাপড়ি বন্ধ বা খুলতে কোন প্রক্রিয়া সাহায্য করে?","অভিস্রবণ"
"প্রাণীর অন্ত্রে খাদ্য শোষিত হতে পারে কোন প্রক্রিয়ার মাধ্যমে?","অভিস্রবণের মাধ্যমে"
"থিসল ফানেলের পরীক্ষায় মাছের পটকা কী ধরনের পর্দা হিসেবে কাজ করে?","অর্ধভেদ্য পর্দা"
"থিসল ফানেলের পরীক্ষায় নলের মধ্যে চিনির দ্রবণের তল উপরে উঠে আসে কেন?","অভিস্রবণ প্রক্রিয়ায় বিকার থেকে পানি (দ্রাবক) ফানেলের গাঢ় চিনির দ্রবণে প্রবেশ করে।"
"শোষণ (উদ্ভিদের ক্ষেত্রে) কাকে বলে?","মাটি থেকে পানি ও পানিতে দ্রবীভূত খনিজ লবণ উদ্ভিদ দেহের সজীব কোষে টেনে নেওয়ার পদ্ধতি।"
"স্থলে বসবাসকারী উদ্ভিদ কীসের সাহায্যে মাটি থেকে পানি শোষণ করে?","মূলরোমের সাহায্যে"
"পানিতে নিমজ্জিত উদ্ভিদ কীভাবে পানি শোষণ করে?","সারাদেহ দিয়ে"
"স্থলজ উদ্ভিদগুলো মূলরোম দিয়ে কোন পানি শোষণ করে?","মাটির সূক্ষ্মকণার ফাঁকে লেগে থাকা কৈশিক পানি"
"স্থলজ উদ্ভিদগুলো কোন প্রক্রিয়ায় কৈশিক পানি টেনে নেয়?","অভিস্রবণ প্রক্রিয়ায়"
"মূলরোমের প্রাচীরটি কী ধরনের পর্দা?","ভেদ্য পর্দা"
"মূলরোমের প্রাচীর প্রথমে কোন প্রক্রিয়ায় পানি শোষণ করে?","ইমবাইবিশন"
"কোষপ্রাচীরের নিচে অবস্থিত অর্ধভেদ্য পর্দার নাম কী?","প্লাজমা পর্দা"
"মূলরোমের কোষীয় দ্রবণের ঘনত্বের তুলনায় তার পরিবেশের (মাটির) দ্রবণের ঘনত্ব কেমন?","কম"
"পানি কোন প্রক্রিয়ায় মূলরোম কোষের মধ্যে প্রবেশ করে?","অন্তঃঅভিস্রবণ প্রক্রিয়ায়"
"এক কোষ থেকে অন্য কোষে পানির গতি অব্যাহত থাকে কেন?","কোষান্তর অভিস্রবণের কারণে (কোষ রসের ঘনত্বের ভিন্নতার জন্য)।"
"পানি শেষ পর্যন্ত কাণ্ডের কোন বাহিকার মাধ্যমে পাতায় পৌঁছায়?","জাইলেম বাহিকা"
"ইমবাইবিশন কাকে বলে?","কলয়েডধর্মী পদার্থের তরল পদার্থ (পানি) শোষণ করার প্রক্রিয়াকে ইমবাইবিশন বলে।"
"উদ্ভিদদেহে বিদ্যমান কলয়েডধর্মী পদার্থের উদাহরণ দাও।","স্টার্চ, সেলুলোজ, জিলেটিন"
"যেসব পদার্থ পানি শোষণ করে (কলয়েডধর্মী) তাদের কী বলে?","হাইড্রোফিলিক পদার্থ"
"উদ্ভিদের জন্য প্রয়োজনীয় খনিজ লবণের উৎস কী?","মাটিস্থ পানি"
"উদ্ভিদ খনিজ লবণকে কী হিসেবে শোষণ করে?","আয়ন হিসেবে"
"উদ্ভিদ মাটির রস থেকে খনিজ লবণ শোষণ কয়ভাবে সম্পন্ন করে?","দুইভাবে- নিষ্ক্রিয় শোষণ ও সক্রিয় শোষণ"
"মূলের কোন অঞ্চল দ্বারা অভিস্রবণ প্রক্রিয়ায় পানি শোষিত হয়?","মূলরোম অঞ্চল"
"মূলের কোন অঞ্চল দ্বারা খনিজ লবণ শোষিত হয়?","কোষ সৃষ্টিকারী অঞ্চল"
"প্রস্বেদন বা বাষ্পমোচন কাকে বলে?","উদ্ভিদের দেহাভ্যন্তর থেকে পাতার মাধ্যমে বাষ্পাকারে পানির নির্গমনের প্রক্রিয়াকে প্রস্বেদন বলে।"
"প্রস্বেদন প্রধানত কিসের মাধ্যমে হয়?","পত্ররন্ধ্রের মাধ্যমে"
"পত্ররন্ধ্র ছাড়া আর কিসের মাধ্যমে প্রস্বেদন হয়?","কাণ্ড ও পাতার কিউটিকল এবং কাণ্ডের ত্বকে অবস্থিত লেন্টিসেল"
"প্রস্বেদন কত প্রকার ও কী কী?","তিন প্রকার। যথা- ১. পত্ররন্দ্রীয় প্রস্বেদন, ২. ত্বকীয় বা কিউটিকুলার প্রস্বেদন এবং ৩. লেন্টিকুলার প্রস্বেদন।"
"কাণ্ডের লেন্টিসেল কী দিয়ে দেখা যায়?","খালি চোখে"
"প্রস্বেদন পরীক্ষার পাতাযুক্ত গাছের পলিথিনের ভিতরে কী দেখা যায়?","বিন্দু বিন্দু পানি জমেছে"
"পাতাবিহীন গাছের টবে পলিথিনের ভিতরে পানি জমেনি কেন?","পাতা না থাকায় প্রস্বেদন হয়নি।"
"উদ্ভিদের জন্য প্রস্বেদনকে কী বলা হয়?","“Necessary evil” (প্রয়োজনীয় অমঙ্গল)"
"প্রস্বেদন উদ্ভিদকে কীসের চাপ থেকে মুক্ত রাখে?","অতিরিক্ত পানির চাপ"
"প্রস্বেদনের ফলে কোষরসের কী পরিবর্তন হয়?","ঘনত্ব বৃদ্ধি পায়"
"কোষরসের ঘনত্ব বৃদ্ধি কীসে সাহায্য করে?","অন্তঃঅভিস্রবণের সহায়ক হয়ে পানি ও খনিজ লবণ শোষণে সাহায্য করে।"
"প্রস্বেদন উদ্ভিদদেহকে কেমন রাখে?","ঠান্ডা রাখে এবং পাতার আর্দ্রতা বজায় রাখে"
"প্রস্বেদনের ফলে জাইলেম বাহিকায় পানির যে টান সৃষ্টি হয়, তা কীসে সাহায্য করে?","মূলরোম কর্তৃক পানি শোষণ ও উদ্ভিদের শীর্ষে পরিবহনে সাহায্য করে।"
"পানিচক্রে প্রস্বেদনের ভূমিকা কী?","ভূপৃষ্ঠের পানি জলীয়বাষ্প হিসেবে বায়ুমন্ডলে প্রেরণ করতে স্থলজ উদ্ভিদের প্রস্বেদন প্রক্রিয়া ভূমিকা রাখে।"
"শোষিত পানি ও খনিজ লবণ পাতায় পৌঁছানো দরকার কেন?","সালোকসংশ্লেষণ প্রক্রিয়ায় খাদ্য তৈরির জন্য।"
"উদ্ভিদের পরিবহন কাকে বলে?","মূলরোম দ্বারা শোষিত পানি ও খনিজ লবণ মূল থেকে পাতায় পৌঁছানো এবং পাতায় তৈরি খাদ্যবস্তু সারা দেহে ছড়িয়ে পড়া।"
"কোন টিস্যুর মাধ্যমে উদ্ভিদে পরিবহন ঘটে?","জাইলেম ও ফ্লোয়েম নামক পরিবহন টিস্যুর মাধ্যমে"
"জাইলেমের কাজ কী?","মূল দ্বারা শোষিত পানি ও খনিজ লবণ পাতায় পৌঁছানো।"
"ফ্লোয়েমের কাজ কী?","পাতায় উৎপন্ন তরল খাদ্য সারা দেহে পরিবাহিত করা।"
"জাইলেমের মাধ্যমে রসের কী ধরনের পরিবহন হয়?","উর্ধ্বমুখী পরিবহন"
"ফ্লোয়েমের মাধ্যমে খাদ্যরসের কী ধরনের পরিবহন হয়?","উভমুখী পরিবহন (উপর ও নিচের দিকে)"
"পানি পরিবহনের পরীক্ষাটি কোন উদ্ভিদ দিয়ে করা সহজ?","দোপাটি অথবা পেপারোমিয়া উদ্ভিদ"
"পেপারোমিয়া উদ্ভিদ কেন পানি পরিবহনের পরীক্ষার জন্য উপযোগী?","কারণ এ গাছের কাণ্ড ও মধ্য শিরা স্বচ্ছ।"
"পানি পরিবহনের পরীক্ষায় কী দেখা যায়?","কাণ্ড এবং পাতার শিরাগুলো লাল রং ধারণ করেছে।"
"পানি পরিবহনের পরীক্ষা থেকে কী প্রমাণ হয়?","উদ্ভিদ মূলের মাধ্যমে শোষিত পানি জাইলেম টিস্যুর মাধ্যমে কান্ড ও পাতায় পরিবহন করে।"
"অন্তঃঅভিস্রবণ কী?","কোষের অভ্যন্তরে দ্রাবকের (পানির) প্রবেশ।"
"বহিঃঅভিস্রবণ কী?","কোষ থেকে দ্রাবকের (পানির) বাইরে গমন।"
"আয়ন কী?","চার্জযুক্ত পরমাণু (খনিজ লবণ আয়ন হিসেবে শোষিত হয়)।"
"কোষরস কী?","কোষস্থিত পানি ও দ্রবীভূত খনিজ লবণের দ্রবণ।"
"সক্রিয় শোষণ কী?","যে শোষণ প্রক্রিয়ায় শক্তির (বিপাকীয় শক্তি) প্রয়োজন হয়।"
"নিষ্ক্রিয় শোষণ কী?","যে শোষণ প্রক্রিয়ায় শক্তির (বিপাকীয় শক্তি) প্রয়োজন হয় না।"
"স্থলজ উদ্ভিদে প্রস্বেদন প্রধানত কীসের মাধ্যমে ঘটে?","পত্ররন্ধ্র"
"কোষপর্দা এক ধরনের কী পর্দা?","অর্ধভেদ্য পর্দা"
"রজনীগন্ধা ফুলের সুবাসে ঘর ভরে যাওয়ার প্রক্রিয়াটি কী?","ব্যাপন"
"ব্যাপন প্রক্রিয়ায় জীবকোষে কী প্রবেশ করে?","অক্সিজেন"
"ব্যাপন প্রক্রিয়ায় উদ্ভিদ সালোকসংশ্লেষণের জন্য কী গ্রহণ করে?","কার্বন ডাইঅক্সাইড"
"রংতুলি থেকে রং পানিতে ছড়িয়ে গেল কোন প্রক্রিয়ায়?","ব্যাপন"
"কিশমিশ ফুলে যাওয়ার প্রক্রিয়াটি উদ্ভিদের জন্য গুরুত্বপূর্ণ কেন?","কারণ অভিস্রবণের মাধ্যমেই উদ্ভিদ মূলরোম দিয়ে পানি শোষণ করে ও কোষের সতেজতা বজায় রাখে।"
"টবে থাকা গাছগুলো নেতিয়ে পড়ার কারণ কী?","প্রস্বেদনে ত্যাগ করা পানির তুলনায় মূল দিয়ে শোষিত পানির পরিমাণ কম হওয়া (পানিশূন্যতা)।"
"পানি দেওয়ার পর গাছগুলো কীভাবে সতেজতা ফিরে পেল?","অভিস্রবণ প্রক্রিয়ায় মূলরোম দিয়ে পানি শোষণ করে এবং কোষের রসস্ফীতি ঘটে, ফলে সতেজতা ফিরে পায়।"
"টবে ইউরিয়ার ঘন দ্রবণ দিলে চারা গাছটির কী হবে?","গাছটি নেতিয়ে পড়বে বা মারা যাবে।"
"ইউরিয়ার ঘন দ্রবণ দিলে গাছ নেতিয়ে পড়ে কেন?","বহিঃঅভিস্রবণ প্রক্রিয়ায় মূলরোম থেকে পানি (দ্রাবক) মাটির ঘন দ্রবণে চলে আসে, ফলে উদ্ভিদ পানিশূন্য হয়ে নেতিয়ে পড়ে।"
